filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,is_objectcatch,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
vehicles_suv_rot64.png,75,left,1,object,3,vehicle,2,suv,4,enter,3,0,0,126,126,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
food_pizza_rot21.png,76,right,2,food,4,manmade,1,pizza,1,grasp,2,1,0,40,40,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,3
food_banana_rot56.png,77,left,1,food,4,produce,2,banana,2,grasp,2,0,0,110,110,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
places_gothicchurch_rot78.png,78,right,2,place,5,building,1,church,1,enter,3,1,0,154,154,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,3
places_house1_rot28.png,79,left,1,place,5,building,1,house,2,enter,3,0,0,54,54,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
places_watertower_rot75.png,80,right,2,place,5,building,1,watertower,3,observe,4,0,0,148,148,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_damonwayans_rot24.png,239,left,1,human,1,facemale,1,damon,1,greet,1,0,0,70,46,-24,forward,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_damonwayans_rot30.png,240,left,1,human,1,facemale,1,damon,1,greet,1,0,0,70,58,-12,forward,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_damonwayans_rot42.png,241,left,1,human,1,facemale,1,damon,1,greet,1,0,0,70,82,12,forward,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_damonwayans_rot48.png,242,left,1,human,1,facemale,1,damon,1,greet,1,0,0,70,94,24,forward,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
