unique_im,is_specialcore,stim_pos,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_special_core,dot_pos,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
169,0,right,313.75,7,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,0,left,323.75,7,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1,left,348.75,8,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,3
171,0,left,328.75,8,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172,0,left,338.75,8,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173,0,left,358.75,8,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174,0,right,8.75,8,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
583,1,right,33.75,1,1,3,0,0,NaN,NaN,1,160,305,281,123,1.10567165789817,1.46420304397766,-0.308270825724989,1.33270130392332,33.75,213.75,41,NaN,NaN,NaN
584,1,right,33.75,1,1,3,0,0,NaN,NaN,1,120,302,233,132,1.29704410151081,1.55818819573865,-0.431370130391477,0.811412817784408,33.75,213.75,41,NaN,NaN,NaN
585,1,right,33.75,1,1,3,0,0,NaN,NaN,1,208,204,288,84,0.473991758565847,0.471786016748628,-0.450555641644017,1.64323287135193,33.75,213.75,41,NaN,NaN,NaN
586,1,right,33.75,1,1,3,0,0,NaN,NaN,1,137,317,271,117,1.19848630405788,1.65909579016399,-0.366612157832507,1.26833714932174,33.75,213.75,41,NaN,NaN,NaN
587,1,right,33.75,1,1,3,0,0,NaN,NaN,1,119,281,200,159,1.34994706019891,1.35345555284939,-0.42063382639041,0.337908214722575,33.75,213.75,41,NaN,NaN,NaN
588,1,right,33.75,1,1,3,0,0,NaN,NaN,1,154,283,260,125,1.15324341557429,1.23566576844562,-0.357908774529203,1.11052591354733,33.75,213.75,41,NaN,NaN,NaN
589,1,right,33.75,1,1,3,0,0,NaN,NaN,1,146,246,250,90,1.28876958165256,0.865455814716402,-0.561105999620546,1.28741314197657,33.75,213.75,41,NaN,NaN,NaN
590,1,right,33.75,1,1,3,0,0,NaN,NaN,1,136,257,258,75,1.32378119261989,1.0250087709951,-0.582808071366782,1.47808157488314,33.75,213.75,41,NaN,NaN,NaN
591,1,right,33.75,1,1,3,0,0,NaN,NaN,1,176,313,311,111,1.02094095267372,1.5432754726429,-0.293749250861273,1.69554926979009,33.75,213.75,41,NaN,NaN,NaN
592,1,right,33.75,1,1,3,0,0,NaN,NaN,1,41,184,135,43,2.00501335409154,1.53532508450294,-1.21426705110111,1.58293861635089,33.75,213.75,41,NaN,NaN,NaN
593,1,right,33.75,1,1,3,0,0,NaN,NaN,2,155,120,321,144,-1.25507316541708,0.68191250735951,-0.145922575189507,1.67932849309872,98,278,41,NaN,NaN,NaN
594,1,right,33.75,1,1,3,0,0,NaN,NaN,2,112,122,317,162,-1.5849891552831,0.951987677272019,-0.0666557868501181,1.60065699130016,101,281,41,NaN,NaN,NaN
595,1,right,33.75,1,1,3,0,0,NaN,NaN,2,222,34,263,223,-0.819683665925481,1.69942628447327,0.322048262714215,1.11870686372765,167.75,347.75,41,NaN,NaN,NaN
596,1,right,33.75,1,1,3,0,0,NaN,NaN,2,268,276,63,228,0.537559247318608,1.52628768514845,1.76212260395574,1.41355050747694,283,463,41,NaN,NaN,NaN
597,1,right,33.75,1,1,3,0,0,NaN,NaN,2,118,144,272,101,-1.71278932466513,0.753871698294495,-0.434309381827689,1.38265941846435,74.25,254.25,41,NaN,NaN,NaN
598,1,right,33.75,1,1,3,0,0,NaN,NaN,2,231,275,231,110,0.692718608525352,1.27927524742367,-0.575681528035021,0.977846730348169,0,180,41,NaN,NaN,NaN
599,1,right,33.75,1,1,3,0,0,NaN,NaN,2,183,169,163,321,-0.570761257636075,0.114948310620294,1.08142714067898,1.64683885700714,187.5,367.5,41,NaN,NaN,NaN
600,1,right,33.75,1,1,3,0,0,NaN,NaN,2,249,247,88,100,0.502351655113271,1.1478129711314,-1.5768587203492,1.32391420297137,312.5,492.5,41,NaN,NaN,NaN
601,1,right,33.75,1,1,3,0,0,NaN,NaN,2,48,235,59,84,1.763577200988,1.59468291594832,-1.60758962944537,1.69545351482331,4,184,41,NaN,NaN,NaN
602,1,right,33.75,1,1,3,0,0,NaN,NaN,2,155,74,114,311,-1.1523711279855,1.18624153648732,1.30493421684088,1.68031318153698,190,370,41,NaN,NaN,NaN
603,1,left,78.75,2,1,3,0,0,NaN,NaN,1,63,249,181,226,1.67139376743593,1.53417315638985,0.965955997339928,0.562097324476718,78.75,258.75,42,NaN,NaN,NaN
604,1,left,78.75,2,1,3,0,0,NaN,NaN,1,70,154,306,107,-1.90578997888247,1.23764866752856,-0.319889695178204,1.6699347079466,78.75,258.75,42,NaN,NaN,NaN
605,1,left,78.75,2,1,3,0,0,NaN,NaN,1,129,230,270,202,1.49081709668733,0.816089299022069,0.176625559190392,1.09522391213717,78.75,258.75,42,NaN,NaN,NaN
606,1,left,78.75,2,1,3,0,0,NaN,NaN,1,112,136,292,100,-1.67318210953899,0.863821487618723,-0.381194573261033,1.56807833336167,78.75,258.75,42,NaN,NaN,NaN
607,1,left,78.75,2,1,3,0,0,NaN,NaN,1,45,131,215,97,-1.82620586072396,1.57885965215592,-0.726987590811597,0.996181537126214,78.75,258.75,42,NaN,NaN,NaN
608,1,left,78.75,2,1,3,0,0,NaN,NaN,1,32,137,286,87,-1.86738428651879,1.69548787472759,-0.44660923530273,1.60799005365259,78.75,258.75,42,NaN,NaN,NaN
609,1,left,78.75,2,1,3,0,0,NaN,NaN,1,123,191,284,159,1.87069581438279,0.628759609187767,-0.105783419626346,1.23468917469442,78.75,258.75,42,NaN,NaN,NaN
610,1,left,78.75,2,1,3,0,0,NaN,NaN,1,96,154,261,121,-1.86531320964008,0.952248153330592,-0.376050662185334,1.14838986593458,78.75,258.75,42,NaN,NaN,NaN
611,1,left,78.75,2,1,3,0,0,NaN,NaN,1,98,201,319,157,1.84076390689412,0.933376550572323,-0.0860512058931262,1.63286595236047,78.75,258.75,42,NaN,NaN,NaN
612,1,left,78.75,2,1,3,0,0,NaN,NaN,1,54,265,289,218,1.63615748992631,1.71477492977383,0.229415545152052,1.35948334375782,78.75,258.75,42,NaN,NaN,NaN
613,1,left,78.75,2,1,3,0,0,NaN,NaN,2,55,206,267,286,1.88727719575577,1.42038757595475,0.573866593379833,1.60820190068527,110.75,290.75,42,NaN,NaN,NaN
614,1,left,78.75,2,1,3,0,0,NaN,NaN,2,207,163,41,232,-0.272604993039461,0.383642128273369,1.78996640674183,1.65934875757099,247.5,427.5,42,NaN,NaN,NaN
615,1,left,78.75,2,1,3,0,0,NaN,NaN,2,198,274,104,189,0.882149497757784,1.13142944422138,1.93399630876453,0.838254716300448,312.25,492.25,42,NaN,NaN,NaN
616,1,left,78.75,2,1,3,0,0,NaN,NaN,2,246,252,191,38,0.535631322283469,1.16736672046098,-0.953141906874831,1.58262647373635,345.5,525.5,42,NaN,NaN,NaN
617,1,left,78.75,2,1,3,0,0,NaN,NaN,2,160,168,266,211,-1.73077770115713,0.20570034915855,0.237997551003024,1.08962705421722,112,292,42,NaN,NaN,NaN
618,1,left,78.75,2,1,3,0,0,NaN,NaN,2,127,81,242,135,-1.32977786113669,1.21329270843267,-0.368574323500354,0.880240248886022,115,295,42,NaN,NaN,NaN
619,1,left,78.75,2,1,3,0,0,NaN,NaN,2,169,208,227,32,1.17036222939607,0.367638522653135,-0.801513656310935,1.73653953015794,18.25,198.25,42,NaN,NaN,NaN
620,1,left,78.75,2,1,3,0,0,NaN,NaN,2,267,125,141,327,-0.336291188255377,1.18415565388509,1.17066736051666,1.74806560721314,212,392,42,NaN,NaN,NaN
621,1,left,78.75,2,1,3,0,0,NaN,NaN,2,253,47,161,226,-0.676133317032031,1.70491941983967,1.21417573068315,0.581987224277409,207,387,42,NaN,NaN,NaN
622,1,left,78.75,2,1,3,0,0,NaN,NaN,2,269,171,144,62,-0.0375060272794332,1.05302046277865,-1.2012618689687,1.34829843942159,311,491,42,NaN,NaN,NaN
623,1,right,123.75,3,1,3,0,0,NaN,NaN,1,197,175,310,250,-0.0540375579446896,0.238506916046196,0.326560907411212,1.72103528176611,123.75,303.75,43,NaN,NaN,NaN
624,1,right,123.75,3,1,3,0,0,NaN,NaN,1,118,121,272,224,-1.55295341961853,0.914366357013072,0.302994378504725,1.20696078818968,123.75,303.75,43,NaN,NaN,NaN
625,1,right,123.75,3,1,3,0,0,NaN,NaN,1,127,100,303,218,-1.39772253191301,1.03265892083171,0.206877494934742,1.50843234056472,123.75,303.75,43,NaN,NaN,NaN
626,1,right,123.75,3,1,3,0,0,NaN,NaN,1,75,73,284,213,-1.52711983623262,1.64338082964328,0.213809035667025,1.28277324197531,123.75,303.75,43,NaN,NaN,NaN
627,1,right,123.75,3,1,3,0,0,NaN,NaN,1,54,99,288,256,-1.67521999126387,1.64187307104122,0.400558172711997,1.54991786478438,123.75,303.75,43,NaN,NaN,NaN
628,1,right,123.75,3,1,3,0,0,NaN,NaN,1,168,167,285,245,-1.50707749652909,0.147449340953022,0.367528806037115,1.45733642121818,123.75,303.75,43,NaN,NaN,NaN
629,1,right,123.75,3,1,3,0,0,NaN,NaN,1,131,80,295,190,-1.30908804200258,1.2070146023242,0.0730456718972652,1.34724421143851,123.75,303.75,43,NaN,NaN,NaN
630,1,right,123.75,3,1,3,0,0,NaN,NaN,1,106,184,246,278,1.97513880675658,0.808853015435284,0.628205278926632,1.39634205646597,123.75,303.75,43,NaN,NaN,NaN
631,1,right,123.75,3,1,3,0,0,NaN,NaN,1,111,136,282,250,-1.68190294007477,0.872868144860948,0.396828231896922,1.45412683932442,123.75,303.75,43,NaN,NaN,NaN
632,1,right,123.75,3,1,3,0,0,NaN,NaN,1,133,145,273,238,-1.63044723914974,0.606926487912856,0.369605341449288,1.29359778886968,123.75,303.75,43,NaN,NaN,NaN
633,1,right,123.75,3,1,3,0,0,NaN,NaN,2,263,147,119,35,-0.215889690785299,1.04184922484456,-1.27142392979794,1.73685444346083,307.75,487.75,43,NaN,NaN,NaN
634,1,right,123.75,3,1,3,0,0,NaN,NaN,2,301,171,191,94,-0.0310854281540161,1.41561707664265,-0.906450280628776,0.948292216190989,304.75,484.75,43,NaN,NaN,NaN
635,1,right,123.75,3,1,3,0,0,NaN,NaN,2,211,138,114,253,-0.545017696359475,0.579595756700861,1.46705389188805,1.12090441806232,220.25,400.25,43,NaN,NaN,NaN
