filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name
food_banana_rot60.png,418,left,1,food,4,produce,2,banana,2,grasp,2,0,110,118,8,forward,leftward
places_gothicchurch_rot77.png,419,right,2,place,5,building,1,church,1,enter,3,0,160,152,-8,sideways,rightward
places_gothicchurch_rot79.png,420,right,2,place,5,building,1,church,1,enter,3,0,160,156,-4,sideways,rightward
places_gothicchurch_rot83.png,421,right,2,place,5,building,1,church,1,enter,3,0,160,164,4,sideways,leftward
places_gothicchurch_rot85.png,422,right,2,place,5,building,1,church,1,enter,3,0,160,168,8,sideways,leftward
places_house1_rot22.png,423,left,1,place,5,building,1,house,2,enter,3,0,50,42,-8,forward,rightward
places_house1_rot24.png,424,left,1,place,5,building,1,house,2,enter,3,0,50,46,-4,forward,rightward
places_house1_rot28.png,425,left,1,place,5,building,1,house,2,enter,3,0,50,54,4,forward,leftward
places_house1_rot30.png,426,left,1,place,5,building,1,house,2,enter,3,0,50,58,8,forward,leftward
places_watertower_rot67.png,427,right,2,place,5,building,1,watertower,3,observe,4,0,140,132,-8,sideways,rightward
places_watertower_rot69.png,428,right,2,place,5,building,1,watertower,3,observe,4,0,140,136,-4,sideways,rightward
places_watertower_rot73.png,429,right,2,place,5,building,1,watertower,3,observe,4,0,140,144,4,sideways,leftward
places_watertower_rot75.png,430,right,2,place,5,building,1,watertower,3,observe,4,0,140,148,8,sideways,leftward
