unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
23,left,1,146.25,7,0.8,3,180,3,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,3
135,,NaN,146.25,7,0.8,3,180,3,-16,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136,,NaN,146.25,7,0.8,3,180,3,-8,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137,,NaN,146.25,7,0.8,3,180,3,8,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,,NaN,146.25,7,0.8,3,180,3,16,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,right,2,168.75,8,0.05,1,270,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,left,1,168.75,8,0.2,2,270,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,right,2,168.75,8,0.8,3,270,4,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,3
139,,NaN,168.75,8,0.8,3,270,4,-16,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,,NaN,168.75,8,0.8,3,270,4,-8,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,,NaN,168.75,8,0.8,3,270,4,8,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,,NaN,168.75,8,0.8,3,270,4,16,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
423,left,1,11.25,1,0.8,3,0,1,0,0,1,1,173,221,211,31,1.06544505747053,0.504085100022223,-0.868447232715287,1.69522287670619,11.25,191.25,17,NaN,NaN,NaN
424,left,1,11.25,1,0.8,3,0,1,0,0,1,1,166,322,211,96,1.06658466745984,1.65631180577183,-0.75644007449818,0.99360531150965,11.25,191.25,17,NaN,NaN,NaN
425,left,1,11.25,1,0.8,3,0,1,0,0,1,1,192,238,224,82,0.855688382827937,0.72085188781136,-0.720827894623666,1.19755221959634,11.25,191.25,17,NaN,NaN,NaN
426,left,1,11.25,1,0.8,3,0,1,0,0,1,1,120,308,148,168,1.28339564304432,1.62169170480032,-1.84395929624192,0.337215338404573,11.25,191.25,17,NaN,NaN,NaN
427,left,1,11.25,1,0.8,3,0,1,0,0,1,1,178,229,216,38,1.0016898411222,0.590735317292612,-0.840557043781335,1.63815855059982,11.25,191.25,17,NaN,NaN,NaN
428,left,1,11.25,1,0.8,3,0,1,0,0,1,1,171,259,213,45,1.06620240615014,0.937936621713426,-0.843312991779612,1.54444088425242,11.25,191.25,17,NaN,NaN,NaN
429,left,1,11.25,1,0.8,3,0,1,0,0,1,1,206,288,249,71,0.853806175976653,1.30896964750452,-0.628464113023909,1.44673682779953,11.25,191.25,17,NaN,NaN,NaN
430,left,1,11.25,1,0.8,3,0,1,0,0,1,1,91,224,127,44,1.70992320836009,1.10745137125654,-1.2524616042005,1.60353375836116,11.25,191.25,17,NaN,NaN,NaN
431,left,1,11.25,1,0.8,3,0,1,0,0,1,1,244,254,280,76,0.553802852841862,1.17048855510967,-0.501557158881954,1.63676443501941,11.25,191.25,17,NaN,NaN,NaN
432,left,1,11.25,1,0.8,3,0,1,0,0,1,1,197,215,226,71,0.6992658284484,0.494717040435152,-0.736581154045656,1.32233325691105,11.25,191.25,17,NaN,NaN,NaN
433,left,1,11.25,1,0.8,3,0,1,0,0,1,2,58,157,288,88,-1.93700220081464,1.36155024128739,-0.43578415824025,1.61132231545459,73.25,253.25,17,NaN,NaN,NaN
434,left,1,11.25,1,0.8,3,0,1,0,0,1,2,72,216,236,108,1.80684521447915,1.26362825602707,-0.559502180368387,1.02904219937595,56.5,236.5,17,NaN,NaN,NaN
435,left,1,11.25,1,0.8,3,0,1,0,0,1,2,193,225,302,120,0.809658110732141,0.58044626680502,-0.273703870750676,1.5653249637358,46.25,226.25,17,NaN,NaN,NaN
436,left,1,11.25,1,0.8,3,0,1,0,0,1,2,110,224,318,215,1.6372055247833,0.92939212802846,0.173856631966784,1.65807387211784,87.5,267.5,17,NaN,NaN,NaN
437,left,1,11.25,1,0.8,3,0,1,0,0,1,2,231,286,29,149,0.718920719327218,1.39115089764232,-1.92358856128061,1.70314002899779,304,484,17,NaN,NaN,NaN
438,left,1,11.25,1,0.8,3,0,1,0,0,1,2,270,284,140,150,0.556236038798508,1.61821191474212,-1.63020561076367,0.508238279194978,316,496,17,NaN,NaN,NaN
439,left,1,11.25,1,0.8,3,0,1,0,0,1,2,218,206,68,72,0.401535802134727,0.583539579960252,-1.54315403033222,1.70934380533305,311.75,491.75,17,NaN,NaN,NaN
440,left,1,11.25,1,0.8,3,0,1,0,0,1,2,105,193,235,75,1.89389899404838,0.831703650730069,-0.682084417219714,1.32291811024748,47.75,227.75,17,NaN,NaN,NaN
441,left,1,11.25,1,0.8,3,0,1,0,0,1,2,186,235,36,142,0.913021057346438,0.669132868687229,-1.88341851083202,1.64191064578444,301.75,481.75,17,NaN,NaN,NaN
442,left,1,11.25,1,0.8,3,0,1,0,0,1,2,92,290,213,175,1.43739577047601,1.60544378628211,-0.021663627919381,0.409040755471836,46.5,226.5,17,NaN,NaN,NaN
443,right,2,33.75,2,0.8,3,90,2,0,0,1,1,139,255,265,67,1.30861073264377,0.986004932526806,-0.579641791700977,1.59975268456698,33.75,213.75,18,NaN,NaN,NaN
444,right,2,33.75,2,0.8,3,90,2,0,0,1,1,145,220,241,76,1.42829311963583,0.611663952167642,-0.649098096981436,1.36044586547627,33.75,213.75,18,NaN,NaN,NaN
