filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,is_objectcatch,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name
tools_brush_rot73.png,1581,left,1,object,3,tool,1,brush,2,grasp,2,0,1,144,144,0,sideways,none
tools_brush_rot75.png,1582,left,1,object,3,tool,1,brush,2,grasp,2,0,1,148,148,0,sideways,none
tools_brush_rot83.png,1583,left,1,object,3,tool,1,brush,2,grasp,2,0,1,164,164,0,sideways,none
tools_brush_rot87.png,1584,left,1,object,3,tool,1,brush,2,grasp,2,0,1,172,172,0,sideways,none
vehicles_bus_rot04.png,1585,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,6,6,0,sideways,none
vehicles_bus_rot07.png,1586,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,12,12,0,sideways,none
vehicles_bus_rot10.png,1587,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,18,18,0,sideways,none
vehicles_bus_rot11.png,1588,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,20,20,0,sideways,none
vehicles_bus_rot16.png,1589,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,30,30,0,sideways,none
vehicles_bus_rot21.png,1590,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,40,40,0,sideways,none
vehicles_bus_rot51.png,1591,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,100,100,0,forward,none
vehicles_bus_rot52.png,1592,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,102,102,0,forward,none
vehicles_bus_rot53.png,1593,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,104,104,0,forward,none
vehicles_bus_rot58.png,1594,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,114,114,0,forward,none
vehicles_bus_rot59.png,1595,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,116,116,0,forward,none
vehicles_bus_rot67.png,1596,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,132,132,0,forward,none
vehicles_bus_rot78.png,1597,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,154,154,0,sideways,none
vehicles_bus_rot79.png,1598,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,156,156,0,sideways,none
vehicles_bus_rot82.png,1599,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,162,162,0,sideways,none
vehicles_bus_rot84.png,1600,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,166,166,0,sideways,none
vehicles_bus_rot89.png,1601,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,176,176,0,sideways,none
vehicles_bus_rot90.png,1602,right,2,object,3,vehicle,2,bus,3,enter,3,0,1,178,178,0,sideways,none
vehicles_suv_rot02.png,1603,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,2,2,0,sideways,none
vehicles_suv_rot10.png,1604,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,18,18,0,sideways,none
vehicles_suv_rot17.png,1605,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,32,32,0,sideways,none
vehicles_suv_rot18.png,1606,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,34,34,0,sideways,none
vehicles_suv_rot23.png,1607,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,44,44,0,sideways,none
vehicles_suv_rot31.png,1608,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,60,60,0,forward,none
vehicles_suv_rot33.png,1609,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,64,64,0,forward,none
vehicles_suv_rot39.png,1610,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,76,76,0,forward,none
vehicles_suv_rot40.png,1611,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,78,78,0,forward,none
vehicles_suv_rot42.png,1612,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,82,82,0,forward,none
vehicles_suv_rot45.png,1613,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,88,88,0,forward,none
vehicles_suv_rot69.png,1614,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,136,136,0,sideways,none
vehicles_suv_rot70.png,1615,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,138,138,0,sideways,none
vehicles_suv_rot71.png,1616,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,140,140,0,sideways,none
vehicles_suv_rot72.png,1617,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,142,142,0,sideways,none
vehicles_suv_rot78.png,1618,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,154,154,0,sideways,none
vehicles_suv_rot84.png,1619,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,166,166,0,sideways,none
vehicles_suv_rot88.png,1620,left,1,object,3,vehicle,2,suv,4,enter,3,0,1,174,174,0,sideways,none
food_pizza_rot30.png,1621,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,58,58,0,forward,none
food_pizza_rot34.png,1622,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,66,66,0,forward,none
food_pizza_rot36.png,1623,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,70,70,0,forward,none
food_pizza_rot48.png,1624,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,94,94,0,forward,none
food_pizza_rot49.png,1625,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,96,96,0,forward,none
food_pizza_rot52.png,1626,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,102,102,0,forward,none
food_pizza_rot53.png,1627,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,104,104,0,forward,none
food_pizza_rot55.png,1628,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,108,108,0,forward,none
food_pizza_rot56.png,1629,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,110,110,0,forward,none
food_pizza_rot61.png,1630,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,120,120,0,forward,none
food_pizza_rot62.png,1631,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,122,122,0,forward,none
food_pizza_rot67.png,1632,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,132,132,0,forward,none
food_pizza_rot69.png,1633,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,136,136,0,sideways,none
food_pizza_rot74.png,1634,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,146,146,0,sideways,none
food_pizza_rot79.png,1635,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,156,156,0,sideways,none
food_pizza_rot81.png,1636,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,160,160,0,sideways,none
food_pizza_rot82.png,1637,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,162,162,0,sideways,none
food_pizza_rot84.png,1638,right,2,food,4,manmade,1,pizza,1,grasp,2,0,1,166,166,0,sideways,none
food_banana_rot03.png,1639,left,1,food,4,produce,2,banana,2,grasp,2,0,1,4,4,0,sideways,none
food_banana_rot07.png,1640,left,1,food,4,produce,2,banana,2,grasp,2,0,1,12,12,0,sideways,none
food_banana_rot17.png,1641,left,1,food,4,produce,2,banana,2,grasp,2,0,1,32,32,0,sideways,none
